row_idx,AUC_P_Cell_death,AUC_P_Hepatocyte_injury,AUC_P_Inflammation
71,29099.48777014763,28945.745626068612,29595.35982615993
72,29099.487770799435,28923.97360648002,29595.359826169828
74,29099.398165244576,28923.973605478266,29364.00347290485
75,29099.39816524476,28923.973605478022,29364.003472923818
76,29099.398165776758,28923.973605231655,29408.15462053153
77,29099.398165776758,28923.973605231655,29408.15462053153
78,29099.398164421647,28907.263535634196,29408.15462064008
80,29099.398165744205,28221.13315669143,29408.154620158344
79,29099.398165743958,28221.13315950219,29408.154620127694
81,29099.39816574423,28221.133156276337,29408.15462013088
82,29099.398165744184,28221.1331605346,29408.15462017707
84,29099.39816569048,28252.463015455585,29408.154619782275
83,29099.398165744184,28221.1331605346,29408.15462017707
86,29099.398165678638,28513.431309402586,29408.1546202111
85,29099.39816567864,28513.431309390086,29408.15462024149
87,29099.398165678638,28513.431309402586,29408.1546202111
88,29099.39816567865,28513.431309402622,29408.154620283512
89,29074.90314624351,28513.330742330472,29393.33022410999
90,29074.903146243505,28513.330742330476,29393.33022410999
91,29074.467478435894,28513.330733313807,29393.330224099718
93,29074.474010204067,27350.745244944548,29393.33022421237
92,29074.4740102805,28513.331541801195,29393.33022410109
95,29074.474010241178,27262.008591243008,29393.330223975372
94,29074.474010202204,27236.310971653755,29393.330223813224
96,29074.474010241007,27262.008591250233,29393.330223944857
97,29074.474010241014,27262.00859126277,29393.330223952784
98,29074.45980992323,27261.793312898568,29393.330222230456
99,29074.45980992332,27261.793313019083,29393.33022227411
100,29074.460139515737,27261.798214197246,29393.330222269375
101,29074.460139557785,27233.110935640805,29393.330222110388
102,29074.46013955781,27233.110935769124,29393.330222114517
103,29044.36958202759,27231.790426637104,29373.530619931043
104,29044.36958202759,27231.790427261178,29373.53061990904
105,29061.98379227386,27231.83608912831,29373.530619650235
106,29048.090949565565,27205.809879445587,29373.53061937359
107,29048.09094956531,27205.809879726185,29373.53061935938
109,29048.09094942544,27170.32161816599,29373.530618860474
108,29048.090949406953,27170.321623016713,29373.53061896083
110,29009.081491044053,27168.447562939305,29345.380785135254
111,29009.081491044286,27168.447544585506,29345.380785137135
112,29009.076224366272,27168.43555119264,29345.38078513831
113,29009.076224366272,27168.43555119262,29345.38078513831
114,29009.07622444538,27168.43554499111,29345.380785106874
115,29051.975215355247,27170.33556382168,29375.066023407748
116,29051.975215895996,27312.379445180453,29375.066024065145
119,28732.21773200343,28593.02548362688,29289.82820401284
117,29033.458808227726,27311.446740250496,29360.767851340326
118,28732.217732003483,28593.025483635403,29289.828204021524
120,28732.217732002857,28593.02548363907,29289.828204021214
122,28732.21772906226,28593.025480386743,29289.82820407582
121,28732.217732003384,28593.02548362748,29289.828204023324
123,28732.217729063676,28593.02548038169,29289.82820409781
124,28732.217729063676,28593.025480384287,29289.828204111207
125,28628.53520451278,28589.534227670832,29215.538098777168
127,28628.537788383863,28719.67347483601,29215.538100099526
126,28628.53520454621,28719.67120391531,29215.538100087062
128,28628.53778904069,28719.67348673532,29215.538099204925
129,28628.537789061018,28718.69054077944,29215.53810034407
130,28628.537789061018,28718.69054077944,29215.53810034407
131,28628.537788530695,28469.034537400723,29215.53810058447
133,28628.53778801446,28382.81826406029,29215.538098978854
132,28628.537788695765,28490.14143643798,29215.538100402566
134,28628.537788181948,28407.73043030355,29215.538100229136
135,28628.53778829518,28466.631211693537,29215.53809952151
136,28628.53778829528,28466.631211711974,29215.538099521495
